,Id,Trial,InterpRating,solution_strategy_response.keys,TrialSequence,Cluster
0,24034,1,0.0,2,1,"[0.89104994 0.25101659 0.54438414 0.50119468 0.12465742 0.49805954
 0.72433162 0.68712058 0.35216093 0.04305608]"
1,24034,1,0.0,2,2,"[0.28033673 0.00690767 0.39623121 0.12569268 0.26627161 0.72141788
 0.19036913 0.15859713 0.18741472 0.62766853]"
2,24034,1,0.0,2,3,"[0.82780343 0.8658599  0.91034333 0.8453054  0.09294982 0.70558435
 0.87853082 0.98412275 0.65484586 0.24781037]"
3,24034,1,0.0,2,4,"[0.59838996 0.21941195 0.99594768 0.21657618 0.10266366 0.388739
 0.02798216 0.61335365 0.23346367 0.44156634]"
4,24034,1,0.0,2,5,"[0.10120978 0.35834159 0.18728778 0.1357594  0.14206666 0.85467427
 0.66371546 0.1032669  0.5326474  0.05139777]"
5,24034,1,0.0,2,6,"[0.20358607 0.20461403 0.80405944 0.29130687 0.15919342 0.70021044
 0.40331062 0.81644315 0.81555147 0.15936774]"
6,24034,1,0.0,2,7,"[0.86761696 0.77704181 0.61107565 0.95390671 0.12748165 0.39112112
 0.75808464 0.65945318 0.73946203 0.82606047]"
7,24034,1,0.0,2,8,"[0.32440168 0.58292776 0.54701284 0.5212404  0.04482029 0.54143705
 0.24116021 0.50905336 0.4525727  0.71669351]"
8,24034,1,0.0,2,9,"[0.24905061 0.4470923  0.8124264  0.1019441  0.26641634 0.43971734
 0.58467933 0.43490909 0.10495331 0.75837796]"
9,24034,1,0.0,2,10,"[0.8844826  0.56109857 0.44756856 0.27007222 0.23070147 0.36149376
 0.11208064 0.65563712 0.67623289 0.66488095]"
10,24034,1,0.0,2,11,"[0.79775113 0.57978714 0.25165674 0.5668898  0.700176   0.77254874
 0.37041191 0.82800219 0.87645252 0.90996605]"
11,24034,1,0.0,2,12,"[0.89031543 0.97123636 0.53877212 0.96235266 0.82337435 0.21990704
 0.66777942 0.49152901 0.0673758  0.96828623]"
12,24034,1,0.0,2,13,"[0.22567837 0.56239373 0.44904763 0.10112023 0.26266865 0.82817074
 0.76877942 0.61896926 0.92778    0.67238663]"
13,24034,1,0.0,2,14,"[0.17514336 0.89078483 0.84897539 0.20052815 0.84534549 0.90672489
 0.23403956 0.30859997 0.70396243 0.39096672]"
14,24034,1,0.0,2,15,"[0.29187311 0.95237551 0.09834319 0.18122252 0.52749326 0.35821719
 0.02163312 0.69612954 0.49363138 0.21478673]"
15,24034,1,0.0,2,16,"[0.36624111 0.90540354 0.04951793 0.80935345 0.59993957 0.47308932
 0.58773253 0.53424707 0.01729936 0.74039316]"
16,24034,1,0.0,2,17,"[0.05141827 0.10038488 0.41307639 0.23947035 0.7527815  0.95319602
 0.56715722 0.19539683 0.15776171 0.82824621]"
17,24034,1,0.0,2,18,"[0.64908507 0.17808233 0.48793235 0.85790279 0.19622757 0.02908875
 0.79602558 0.13494316 0.28473521 0.37313687]"
18,24034,1,0.0,2,19,"[0.52538482 0.02453593 0.30490298 0.49102002 0.45985836 0.40227911
 0.71385042 0.10249031 0.81619465 0.78173223]"
19,24034,1,0.0,2,20,"[0.2021459  0.2108419  0.76968047 0.42450809 0.39393779 0.97811112
 0.61461993 0.7812729  0.14340445 0.76067242]"
20,24034,1,0.0,2,21,"[0.29910044 0.14476978 0.69176669 0.94973945 0.75869862 0.33973985
 0.66299808 0.11900774 0.51594659 0.9100598 ]"
21,24034,1,0.0,2,22,"[0.23227246 0.23325996 0.27096174 0.42025433 0.82610566 0.89051901
 0.24256994 0.35711143 0.04694846 0.7575263 ]"
22,24034,1,0.0,2,23,"[0.2745223  0.87121664 0.03030084 0.57946399 0.22413533 0.07080459
 0.75307714 0.60202444 0.04108779 0.54390794]"
